normalized_name,type,currency,median_price,min_price,max_price,sample_count
закаленная сталь - 37шт,sell,gold,99,99,99,49
личный ремкомплект - 2шт,sell,gold,10000,8000,10000,49
обожженный бук - 7шт,sell,gold,99,99,99,49
чистая кожа - 8шт,sell,gold,99,99,99,49
amulet waves [iii+] (60/60),sell,gold,4500,4500,4500,48
bec de corbin [iii] +6,sell,gold,20000,20000,20000,48
зелье очищения камня [iii+],sell,gold,25000,25000,25000,48
обожженный амарант - 24шт,sell,gold,210,210,210,48
секира пурги [iii+]+3,sell,gold,5000,4500,5500,48
талант - орлиный глаз - 1шт(24 ч.),sell,gold,3500,3500,3500,48
фламберг маржаны [iii+] +3,sell,gold,6000,6000,6000,48
bec de corbin [iii] +3 (55/55),sell,gold,8000,8000,8000,47
graceful shield [iii] +3 (50/50),sell,gold,8000,8000,8000,47
"бриллиантовые серьги,",sell,gold,800,750,800,47
ледяные ботинки провидца [iii+] +5 (16/18),sell,gold,7000,7000,8000,47
"пояс нуамендора +3,",sell,gold,32000,31000,33000,47
рецепт улучшенный акинак (ii),buy,gold,350,350,350,47
сертификат cброса параметров,sell,gold,900,900,1000,47
бриллиантовые серьги [i] +1 (44/60),sell,gold,1100,1100,1100,46
закаленная сталь - 38шт,sell,gold,99,99,99,46
ледяной капюшон жреца [iii+] +5 (40/40),sell,gold,10000,10000,10000,46
ледяные браслеты жреца [iii+] +5 (40/40),sell,gold,10000,10000,10000,46
медь - !!!,buy,gold,25,22,27,46
свиток кселеса - /,buy,gold,25000,25,25000,46
свиток кселеса - /шт.,sell,gold,29000,28000,31500,46
карбарась =,buy,gold,35,35,60,45
кусок мяса =,buy,gold,35,35,60,45
мотыга м -/шт,sell,gold,375,375,375,45
"пояс нуамендора +1,",sell,gold,30000,30000,31000,45
свиток заточки [||],buy,gold,60,25,65,45
талант золотая антилопа,sell,gold,850,700,1000,45
кирка пм -/шт,sell,gold,200,200,200,44
"крылья +1,",sell,gold,18800,18500,19000,44
"крылья +2,",sell,gold,19500,19000,20000,44
"крылья +3,",sell,gold,20500,20000,21000,44
личный ремкомплект - 1шт,sell,gold,6000,6000,10000,44
массивный панцырь [ll],buy,gold,2500,2000,2500,44
обожженный философский камень =,buy,gold,250,250,350,44
печать старца [ll],buy,gold,1600,1600,1600,44
тяжёлая кольчуга [ll],buy,gold,2000,2000,2000,44
философский камень =,buy,gold,50,50,130,44
безопасный свиток заточки [i] /800з/шт (3 шт всего),sell,cookie,2,2,2,43
ботинки черствости [ii],sell,gold,1600,1600,1600,43
деликатесное мясо =,buy,gold,25,25,40,43
личный свиток кселеса 4 шт - т3 41/,sell,cookie,51,51,51,43
материя [iv],buy,gold,6000,6000,8000,43
миледокунь =,buy,gold,25,25,40,43
пояс нуамендора; .,sell,gold,29000,29000,29000,43
"свиток ""only pvp"" 30м - или",sell,gold,4000,4000,4000,43
талант - закалка - 4шт(24 ч.),sell,gold,3500,3500,3500,43
талант потрошителль(ивент),sell,gold,4700,4500,5000,43
дуб =,buy,gold,15,15,22,42
инкрустированный пояс +1;,sell,gold,3600,3500,4000,42
инкрустированный пояс +2;,sell,gold,3900,3600,4200,42
кость =,buy,gold,15,15,20,42
личный ремкомплект,sell,gold,4750,4500,6000,42
медь =,buy,gold,15,15,19,42
dissent bracers [iii] +5,sell,gold,16000,13000,16000,41
tsunami amulet [iii+] +3,sell,gold,6500,6500,7000,41
амарант =,buy,gold,100,100,100,41
бук =,buy,gold,10,10,10,41
клевец пурги [iii+] +3,sell,gold,5500,5500,8500,41
кованая сталь =,buy,gold,5,5,5,41
кожа =,buy,gold,15,15,15,41
корка хлеба [ii] - 24ч 6шт,sell,gold,700,700,700,41
кровь =,buy,gold,15,15,15,41
морской циртец =,buy,gold,300,300,300,41
мотыга пм -/шт,sell,gold,200,200,200,41
мраморное мясо =,buy,gold,300,300,300,41
олово =,buy,gold,5,5,5,41
оплату принимаю только медью 1медь=,sell,gold,20,20,20,41
ремкомплект личный по (с залогом),buy,gold,3500,3500,3500,41
сосна =,buy,gold,5,5,5,41
титан =,buy,gold,100,100,100,41
хитин =,buy,gold,10,10,10,41
tsunami amulet [iii+] (60/60),sell,gold,4500,4500,4500,40
безопасный свиток заточки [iv],sell,gold,2400,2100,2400,40
безопасный свиток заточки [iv] = за шт.,buy,gold,1900,1900,1900,40
инкрустированный пояс +12%дропа - .,buy,gold,3900,3900,3900,40
рецепт особого оружия - или обмен на амулет оракула [iv] (за последние 4 пункта возможен торг),sell,gold,79999,69999,79999,40
свиток кулинара,buy,gold,2300,2300,2300,40
талант - орлиный глаз,sell,gold,2800,2700,3000,40
быстрые пальцы [ii] +3 (27/27),sell,gold,2400,2200,2400,39
изящный доспех [ii] +3 (13/35),sell,gold,2400,2300,2500,39
карась,buy,gold,67,50,70,39
колье безрассудства [ii],sell,gold,1600,1600,1600,39
мешок с ресурсами [iii],buy,gold,80,80,85,39
ледяная мантия жреца [iii+] +5 (40/40),sell,gold,10000,10000,10000,38
по от 2шт сразу,sell,gold,250,200,250,38
helmet of aspirations [iii] +5,sell,gold,10000,10000,10000,37
аксессуар материи [ll] - /шт.,buy,gold,800,800,800,37
зелье очищения т,buy,gold,39999,38250,39999,37
луковый суп [i],sell,gold,800,800,800,37
мешок с ресурсами [i],buy,gold,35,20,40,37
мешок с ресурсами [ii],buy,gold,55,30,60,37
обожженный амарант - 14шт,sell,gold,210,210,210,37
рецепт колье безрассудства (ii),buy,gold,250,250,250,37
рецепт печать искушения (ii),buy,gold,250,250,250,37
рецепт усиленная тарга (ii),buy,gold,250,250,250,37
талант - потрошитель [ивент] - (29 шт),sell,gold,7000,7000,7000,37
эсток вьюги [iii+]+4,sell,gold,8000,7500,8000,37
внешний вид: принц зимы - 1шт,sell,cookie,130,130,130,36
загнал вьюги +( новый),sell,gold,618999,614999,619999,36
загнал вьюги [iii+] +4,sell,gold,8000,8000,8000,36
корона или 46700,sell,cookie,115,115,115,36
материя [iii],buy,gold,700,200,700,36
материя т,buy,gold,2250,2250,2400,36
рецепт особого оружия - или обмен на амулет оракула [iv],sell,gold,69999,69999,69999,36
свиток заточки [iv] - 50+,sell,gold,100,100,100,36
скутум вьюги [iii+],sell,gold,4000,4000,4000,36
"эссенция (маржана 500), прах , осколок души, криолит, кость",sell,gold,300,300,300,36
‍ внешний вид: воины севера,sell,gold,25000,20000,25000,36
деликатесное мясо,buy,gold,24,22,24,35
зелье т3 любые,sell,gold,150,150,150,35
книги по (пассивки нет),sell,gold,500,500,500,35
лук подмастерья пм,sell,gold,390,390,390,35
материал материи т,buy,gold,2250,2250,2250,35
материя [iil+],buy,gold,1200,1200,1200,35
ожерелье точности бездны [iv] +7,sell,cookie,300,300,300,35
"свиток ""only pve"" 1ч",sell,gold,7000,7000,7000,35
слиток из вольфрама,sell,gold,8500,8500,8500,35
талант - блестящие латы -/шт,sell,gold,2700,2600,2700,35
удочка подмастерья пм,sell,gold,250,250,250,35
award of cirta [i] +2 (42/74),sell,gold,6000,6000,6000,34
деликатесное мясо -/шт,sell,gold,35,30,40,34
amulet of sea water [iii+],sell,gold,5500,5500,6000,33
bone of skeleton [ii],buy,gold,2000,2000,2000,33
rhino dissent bracers [iii],sell,gold,5000,4000,9000,33
t.rex crusher armor [iii] +,sell,gold,37500,36500,39000,33
внешний вид: тыквенная голова,sell,cookie,120,100,120,33
знак кулинара,sell,gold,3000,3000,15000,33
инкрустированный пояс [i] +1 новый,sell,gold,3500,3500,4000,33
ледяная удача кощара,buy,gold,900,900,900,33
ледяное кольцо провидца [iii+]+5,sell,gold,12000,12000,12000,33
мешок гринча,sell,cookie,750,600,1000,33
bec de corbin [iii] +6 (34/52),sell,gold,20000,19000,20000,32
амулет оракула т,sell,cookie,4600,4600,4600,32
зелье [iv] +4 вын. инт. (1 ч),buy,gold,80,80,80,32
пирог 7д.,buy,gold,4000,3500,4000,32
реген 1д - реген 7д,buy,gold,700,700,700,32
шапо с пером [ii] - .,buy,gold,1800,1600,2000,32
rhino saboteur's gloves [iii],sell,gold,5000,5000,5000,31
заточки [ii],buy,gold,50,42,80,31
метка охоты i(1) - 1шт,sell,gold,400,400,400,31
ремкомплект - 7.,buy,gold,500,500,500,31
сертификат смены расы - .,buy,gold,300,300,300,31
чертеж двуручного оружия [iii],sell,gold,6000,4000,7500,31
чертеж наемника [ii],sell,gold,5000,3000,5000,31
шапо с пером [ii],sell,gold,2500,1500,2500,31
"свиток ""only pvp"" 30м",sell,gold,3000,2000,3000,30
"талант потрошитель /шт, есть 30шт",sell,cookie,15,12,15,30
amulet of sea water [iii+] (60/60),sell,gold,4500,4500,5500,29
amulet of sea water [iii+] +2 (60/60),sell,gold,6500,6500,6500,29
"активки за /шт, наличие спрашивать.",sell,gold,400,400,400,29
амулет оракула [iv] +1,sell,gold,200000,200000,200000,29
бриллиантовые серьги,sell,gold,750,600,1000,29
мешок материи - / шт.,buy,gold,2600,2200,2600,29
пропитанный дуб - 31шт,sell,gold,100,100,100,29
свеча для обжига,buy,gold,65,65,65,29
тяжелая кольчуга (35/35),sell,gold,1800,1800,1800,29
чистая кость - 131шт,sell,gold,90,90,90,29
amulet of sea water [iii+] 4500з/,sell,cookie,11,11,11,28
котомка с золотом (250) - или 3500 з,sell,cookie,8,8,8,28
ледяные ботинки провидца [iii+] +5,sell,gold,14000,14000,15000,28
ледяные перчатки провидца [iii+] +5,sell,gold,14000,14000,15000,28
удочки мастера [iii] -/шт.,buy,gold,1300,1300,1300,28
ярость iii,sell,gold,4000,4000,5000,28
зелье т1/т2 вын.,buy,gold,100,90,100,27
зелье т1/т2 инт.,buy,gold,100,90,100,27
зелье т1/т2 лов.,buy,gold,100,90,100,27
зелье т1/т2 сил.,buy,gold,100,90,100,27
зелья здоровья+25%[ll],buy,gold,15,15,15,27
зелья здоровья+50%[ll],buy,gold,30,30,30,27
обожженные философские камени,buy,gold,260,260,260,27
"таланты любые, боевые (не антилопа)",buy,gold,2300,1900,2400,27
усиленная тарга [ii],sell,gold,1800,1800,1800,27
философские камени,buy,gold,100,100,100,27
зелье [ii] +2 вын. (1 ч) - 71шт,sell,gold,250,200,250,26
зелье [ii] +2 инт. (1 ч) - 44шт,sell,gold,250,200,250,26
зелье [ii] +2 лов. (1 ч) - 52шт,sell,gold,250,200,250,26
зелье [ii] +2 сил. (1 ч) - 59шт,sell,gold,250,200,250,26
зелье очищения камня [iv] /130к,sell,cookie,360,360,360,26
ледяная кираса провидца [iii+] +5,sell,gold,10000,9000,10000,26
олово,sell,gold,18,15,22,26
талант - потрошитель [ивент] - (9),sell,gold,4500,4500,4750,26
удочка подмастерья [ii] - (15),sell,gold,230,230,230,26
чистая кость - 142шт,sell,gold,90,90,90,26
эфес из бука и сосны - 1шт,sell,gold,1500,1500,1500,26
аккумулятор тьмы,sell,gold,370000,370000,400000,25
аксессуар материи т2,buy,gold,1100,900,1100,25
карбарась - временно не закупаю,buy,gold,80,80,80,25
кусок мяса - временно не закупаю,buy,gold,80,80,80,25
ледяная удача кощара - 2шт,sell,gold,1200,1200,1500,25
обожженный бук - 15шт,sell,gold,99,99,99,25
свиток кселеса,buy,gold,23333,23333,25000,25
удочка мастера,buy,gold,1450,1200,1450,25
чекан маржаны [iii+] +6 (38/50),sell,gold,25000,23000,25000,25
возможна оплата печеньками по курсу =,sell,gold,350,350,350,24
"донат — , с заточкой +3",buy,gold,1100,1100,1300,24
древнее кольцо наития [iii] +5,sell,gold,8000,8000,9000,24
древний щит из стали [lll],buy,gold,2000,2000,2000,24
зелье [i] +1 лов. (1 ч),buy,gold,150,150,150,24
кожаный шлем натиска [iv] +7,sell,gold,70000,70000,70000,24
"крафт — , с заточкой +3",buy,gold,800,700,850,24
критическое исцеление ll,buy,gold,5000,5000,5000,24
лук подмастерья,buy,gold,500,500,500,24
материал материи [ll],buy,gold,255,225,325,24
ожерелье аида,buy,cookie,1300,1300,1300,24
офк обожжённый философский камень,buy,gold,300,300,300,24
последний шанс iv,buy,gold,6000,6000,6000,24
последний шанс lll,buy,gold,2000,2000,2000,24
"пыльный фрагмент доспеха, оружия -/шт",buy,gold,90,90,90,24
пыльный фрагмент перчаток,buy,gold,40,40,40,24
пыльный фрагмент сапог,buy,gold,40,40,40,24
пыльный фрагмент шлема,buy,gold,40,40,40,24
пыльный фрагмент щита,buy,gold,20,20,20,24
t.rex crusher armor [iii] +3,sell,gold,13000,13000,13000,23
аквельский лук - 45шт,sell,gold,100,80,120,23
дрангарская морковь - 9шт,sell,gold,80,60,90,23
корка хлеба [ii] - 24ч,sell,gold,700,700,700,23
оберег оракула [iv],sell,cookie,300,300,400,23
пояс нумеадора,sell,gold,30000,30000,30000,23
рецепт массивный панцирь (ii),buy,gold,450,450,450,23
свиток заточки [i],buy,gold,25,25,50,23
смертельный яд iii: - 4.,sell,gold,500,500,500,23
цена оптом - /шт.,sell,gold,2450,1250,5850,23
чекан маржаны [iii+] +7 - /58к,sell,cookie,150,150,150,23
amulet of sea water [iii+] +5 (47/47),sell,gold,11000,10000,13000,22
бонус регенерации 24ч - /шт (от 15шт цена ниже),sell,gold,850,850,900,22
водоросли,buy,gold,5,5,5,22
закаленная медь - 55шт,sell,gold,130,130,130,22
карбарась,sell,gold,150,150,150,22
карма - 16шт (/шт),sell,gold,100,100,100,22
комплимент - 300шт (/шт),sell,gold,50,50,50,22
корона +,sell,cookie,5170,5170,5170,22
корона [i],sell,cookie,130,100,130,22
корона [i] +1,sell,cookie,110,110,120,22
лук мастера [i|i],sell,gold,1700,1700,1700,22
любые т2 рецепты по за шт.,buy,gold,325,300,400,22
материя [iv] - 5.,buy,gold,800,800,800,22
"оружие, грудь",sell,gold,100,100,100,22
печенье,sell,gold,450,450,450,22
продам т3 ку сет . могу рассмотреть обмен на су или кткд сет.,sell,cookie,250,250,250,22
"пыльные фрагменты ноги, руки, щит, голова",sell,gold,50,50,50,22
рупор - 155шт/,sell,gold,50,50,50,22
свиток заточки [i] - за шт.,buy,gold,25,25,25,22
свиток удачи - /шт (от 20шт цена ниже),sell,gold,282,280,285,22
сертификат смены ника - 6шт/,sell,gold,800,800,800,22
сертификат смены расы - 9шт/,sell,gold,400,400,400,22
серьги ламещупа [i],sell,gold,10000,5000,10000,22
хлам из данжа,sell,gold,30,30,30,22
энергетик,buy,gold,120,120,120,22
энергетик - много,sell,gold,170,170,190,22
‍ внешний вид: воины севера - 2шт,sell,cookie,80,80,80,22
‍ внешний вид: принц зимы - 2шт,sell,cookie,90,90,90,22
dissent shoes [iii] +5,buy,gold,10000,10000,10000,21
graceful armor +3 15/,sell,gold,487000,487000,487000,21
pendant waves [iii+] +5 (48/60),sell,gold,10000,10000,10000,21
siege heavy helm [iii],buy,gold,6000,5000,7000,21
божественная милость т,sell,cookie,465,465,465,21
быстрые пальцы [ii] +3 (30/30),sell,gold,2500,2300,2500,21
выстрел в горло т,sell,cookie,4100,4100,4100,21
загнал вьюги [iii+],sell,gold,6000,6000,6000,21
карбарасей,buy,gold,50,50,50,21
клевец пробоин,buy,gold,2000,1500,2000,21
кожа - !!!!!,buy,gold,22,22,27,21
критическое исцеление т,sell,cookie,460,460,460,21
кровавая секира,buy,gold,2000,1500,2000,21
крылья [i] +1,sell,cookie,45,45,45,21
массивный панцырь,buy,gold,3000,2500,4000,21
ожерелье камней,buy,gold,1900,1500,1900,21
последний шанс т,sell,cookie,430,430,430,21
сила воли т,sell,cookie,440,440,440,21
талант - золотая антилопа - 3шт,sell,gold,1000,1000,1000,21
тяжёлый клинок,buy,gold,2000,1500,2000,21
чертеж наемника [ii] - /шт (2шт),sell,gold,3500,3500,3500,21
божественная милость iv,sell,gold,10000,10000,10000,20
инкрустированный пояс,sell,gold,3500,3500,3500,20
миледокунь - (500),sell,gold,50,50,50,20
последний шанс iv,sell,gold,10000,10000,10000,20
рецепт[iv]: ожерелье ярости бездны - 1шт,sell,gold,2500,2500,2500,20
рупор - 4шт (/шт),sell,gold,80,80,80,20
аквельский обед [|],buy,gold,110,110,110,19
закалка \ латы,buy,gold,2400,2400,2400,19
зелье [ii] +2 вын/инт/лов/сил (1 ч) - /шт.,buy,gold,120,120,120,19
кожа - /1шт.,buy,gold,20,20,20,19
колье безрассудства [ii] (35/35),sell,gold,1600,1600,1600,19
ледяные ботинки жреца [iii+],sell,gold,5500,5000,5500,19
медь --/шт,buy,gold,20,20,20,19
ожерелье ярости бездны [iv],sell,gold,40000,40000,40000,19
оракул \ глаз,buy,gold,2600,2600,2600,19
талант - блестящие латы - 2шт,sell,gold,3400,3400,3400,19
талант - орлиный глаз - 3шт,sell,gold,3400,3400,3400,19
чертеж одноручного оружия [iii],sell,gold,5500,4000,7500,19
‍ внешний вид: принц зимы,sell,gold,30000,30000,30000,19
rhino saboteur gloves,sell,gold,4500,4500,4500,18
бутерброд [iii] - 7 дней - 6шт,sell,gold,3500,3500,3500,18
взрывная метка i(1) - 1шт,sell,gold,450,450,450,18
еще одна попытка i(111) - 1шт,sell,gold,450,450,450,18
зелье очищения камня [iv],sell,cookie,360,360,400,18
материя: [iii+] - 15шт == зельеч= 25000з,sell,gold,1850,1850,1850,18
праздничный салют,sell,gold,400,400,400,18
провидение т,sell,cookie,460,460,460,18
равноправие i(11) - 1шт,sell,gold,450,450,450,18
ремкомплект (1шт),sell,gold,8500,8500,8500,18
ремкомплект - /шт.,sell,gold,9000,9000,9500,18
удача торговца - рублей,buy,gold,200,200,200,18
улучшенный акинак [ii] +,sell,gold,32700,32500,32700,18
яд скорпиона i(11) - 1шт,sell,gold,450,450,450,18
adagra [iii] +1 (44/49),sell,gold,5000,5000,5000,17
labris [iii] +3 (27/51),sell,gold,7000,6500,7000,17
rhino crusher gloves [iii] +5,sell,gold,13000,13000,15000,17
rhino siege heavy gloves [iii] +5 (46/49),sell,gold,8000,7500,8000,17
t.rex siege heavy armor [iii] +5 (29/52),sell,gold,8500,8000,8500,17
акинак [ii] +,sell,gold,1150,1150,1150,17
безопасные свитки заточки [iii],buy,gold,900,900,900,17
безопасный свиток заточки [i] шт — /800з (3 шт всего),sell,cookie,2,2,2,17
бонус регенерации 24ч - 1шт,sell,gold,950,950,1000,17
бонус регенерации 24ч 14шт,sell,gold,950,950,950,17
бусы предвидения [ii] +,sell,gold,1110,1110,1110,17
золотые серьги [i],sell,gold,800,800,800,17
искусные перчатки [ii] +,sell,gold,1110,1110,1110,17
кинжалы охотника на демонов [iv] +,sell,gold,10100000,10100000,10100000,17
кожаные ботинки [ii] +,sell,gold,2100,2100,2100,17
корка хлеба [ii] - 24ч 2шт,sell,gold,700,700,700,17
корка хлеба [ii] - 24ч 8шт,sell,gold,700,700,700,17
крушитель (65/65),sell,gold,1600,1600,1600,17
кулон наития [ll],buy,gold,1600,1600,1600,17
кулон стремлений [ii] (35\35),sell,gold,1820,1820,1820,17
легкий панцирь [ii] +,sell,gold,1120,1120,1120,17
лук подмастерья [ii] - 8шт (/шт),sell,gold,400,400,400,17
печать старца [ii] (30\30),sell,gold,2000,2000,2000,17
премиум на 30 дней,buy,cookie,25,25,27,17
ржавый бацинет [ii] +,sell,gold,1100,1100,1100,17
рубиновое кольцо [ii] +,sell,gold,1110,1110,1110,17
"свиток ""only pve"" 1ч - 1шт",sell,gold,8000,8000,8000,17
свиток заточки [iii] - 48шт,sell,gold,120,120,120,17
т2 на уворот: кровавая секира [ii] +5 (15/65),sell,gold,3500,3500,3500,17
талант -блестящие латы -/шт,sell,gold,2700,2700,2750,17
удочка м -/шт,sell,gold,1300,1300,1300,17
удочка подмастерья [ii] - 3шт (/шт),sell,gold,350,350,350,17
чесночная похлебка [i],buy,gold,650,500,800,17
шипастый щит [ii],sell,gold,110,110,110,17
эликсир здоровья + 25% [i]–1 шт/,sell,gold,5,5,10,17
эликсир здоровья + 50% [i] –1 шт/,sell,gold,10,10,20,17
amulet of sea water +3 [iii+] 6500з/,sell,cookie,16,16,16,16
активная защита iv,sell,gold,15900,15900,15900,16
баллок и басселард пурги [iii+] +3,sell,gold,6000,6000,6000,16
безопасная заточка 1 уровня-/шт,buy,gold,380,380,380,16
бриллиантовые серьги [i] - 3 шт/1.шт.,sell,gold,100,100,1000,16
бутерброд на 7 дней,buy,cookie,6,6,6,16
вещи т2 (редкие/эпические) - по 1000/ за шт. (за точку +3 и больше доплачиваю!),buy,gold,1500,1500,1500,16
выстрел в горло iv - 1шт,sell,cookie,80,70,80,16
двуручный молот войны [iv] + прочность: 9/21,sell,gold,44500,44500,44500,16
заточка 1 уровня-/шт,buy,gold,20,20,20,16
заточка 2 уровня-/шт,buy,gold,60,60,60,16
клевец пробоин [ii],sell,gold,1400,1200,1600,16
критическое исцеление iv - 1шт,sell,cookie,55,50,55,16
личный ремкомплект 5к/,sell,cookie,12,12,12,16
люцернский молот метели [iii+] +3,sell,gold,6000,6000,6000,16
малахитовое кольцо [ii] (30/30),sell,gold,2000,2000,2000,16
материю т,buy,gold,46500,46500,46500,16
миледокунь,buy,gold,28,28,28,16
мясо -/шт,buy,gold,50,50,50,16
ожерелье камней [ii] (35/35),sell,gold,1500,1500,1500,16
перец -/шт,buy,gold,110,110,110,16
премиум 15 дней,sell,gold,10000,10000,10000,16
премиум 30 дней,sell,gold,15000,15000,15000,16
премиум 7 дней,sell,gold,6500,6500,6500,16
рецепт [iii]: ледяной перстень изменника - 1шт,buy,gold,125,125,125,16
сертификат смены ника,sell,gold,450,400,500,16
сила воли iii,sell,gold,10000,10000,10000,16
смертельный яд iv - 1шт,sell,cookie,90,80,90,16
т3 ку сет . могу рассмотреть обмен на су или кткд сет.,sell,cookie,250,250,250,16
улучшенный акинак [ii] 2000з/,sell,cookie,5,5,5,16
чеснок -/шт,buy,gold,80,80,80,16
чесночная похлебка [i],sell,gold,800,800,800,16
безопасную заточку-/шт,buy,gold,700,700,700,15
внешний вид для эльфов принц зимы,sell,cookie,130,130,130,15
все остальные,sell,gold,200,200,200,15
древние топоры авангарда,sell,gold,150,150,150,15
древняя булава наития,sell,gold,200,200,200,15
древняя секира крови,sell,gold,200,200,200,15
кровавая секира (65/65),sell,gold,1200,1200,1200,15
кусок мяса -/шт,sell,gold,75,75,80,15
ледяная печать жреца /шт (2 шт),sell,gold,200,200,200,15
ледяная печать стража,sell,gold,200,200,200,15
ледяное кольцо жреца /шт (4 шт),sell,gold,200,200,200,15
ледяное кольцо провидца /шт (3 шт),sell,gold,300,300,300,15
ледяное кольцо стража /шт (3 шт),sell,gold,200,200,200,15
ледяной перстень провидца /шт (2 шт),sell,gold,200,200,200,15
ледяные ботинки стража /шт (2 шт),sell,gold,200,200,200,15
ледяные сапоги жреца,sell,gold,200,200,200,15
ледяные сапоги стража,sell,gold,200,200,200,15
личная ремка,sell,cookie,15,15,15,15
личный свиток кселеса 2 шт - т3 41/,sell,cookie,51,51,51,15
морской циртец - 5шт (/шт),sell,gold,500,500,500,15
мраморное мясо - 20шт (/шт),sell,gold,450,450,450,15
парные саи пурги [iii+],sell,gold,4000,4000,4000,15
потрошитель,sell,cookie,25,25,25,15
свиток заточки [iv],sell,gold,110,50,110,15
свиток кселеса,sell,gold,28500,28000,30000,15
сертификат cброса параметров - 1шт ( или ),sell,gold,1000,1000,1000,15
талант закалка,sell,gold,2600,2500,2600,15
талант оракул,sell,gold,3200,3000,3200,15
усиленная тарга (30/30),sell,gold,2500,2500,2500,15
фламберг маржаны,sell,gold,6000,6000,6000,15
энергетик 150з/шт/ за два,sell,cookie,1,1,1,15
crusher boots [iii] +5 (20/48) - или обмен на саботер кольцо с той же точкой,sell,gold,15000,15000,15000,14
crusher necklace [iii] +5 (29/46) - или обмен на саботер кольцо с той же точкой,sell,gold,15000,15000,15000,14
graceful gloves [iii] +3 49/49,sell,gold,6500,6000,8000,14
инкрустированный пояс [i] +1 (42/58),sell,gold,3500,3000,3500,14
корона или 49000,sell,cookie,120,120,120,14
кровавая секира [ii] (65/65),sell,gold,1800,1600,1800,14
крылья +1;,sell,gold,18500,18500,18500,14
крылья +2;,sell,gold,19000,19000,19000,14
крылья +3;,sell,gold,20000,20000,20000,14
кулон стремлений [ii]+3,sell,gold,1500,1500,1500,14
медь - /1шт.,buy,gold,26,20,26,14
пояс нумеадора [i],sell,gold,29000,29000,29000,14
рецепт[iv],buy,gold,100,50,100,14
рецепты [iii],sell,gold,225,200,300,14
свиток заточки [iii] - 50+шт,sell,gold,100,100,100,14
талант - потрошитель [ивент] - 10шт,sell,gold,7000,7000,7000,14
шлема,sell,gold,350,350,350,14
amulet waves [iii+],buy,gold,4000,4000,4500,13
award of cirta [i] новое,sell,gold,5000,5000,6500,13
амулет оракула [iv] - (торг уместен),sell,cookie,600,600,600,13
кавельский чеснок - 25шт,sell,gold,100,100,120,13
корка хлеба [ii] - 24ч - /шт (2шт),sell,gold,650,650,650,13
ледяная удача кощара [ивент] - /шт.,sell,gold,1300,900,1300,13
ледяной кабассет стража,sell,gold,250,250,250,13
личный свиток кселеса 1 шт т3 41/,sell,cookie,51,51,51,13
материя т,sell,gold,47000,47000,47000,13
рубиновая россыпь [ii] +,sell,gold,21500,21500,31800,13
рупор 2/,sell,cookie,1,1,1,13
талант - оракул - 1шт,sell,gold,2500,2500,3400,13
удочка пм - . 5шт.,buy,gold,220,220,220,13
энергетик по (много),sell,gold,145,135,145,13
amulet of sea water [iii+] +5 (42/60),sell,gold,13000,13000,13000,12
amulet of sea water [iii+] 5000з/,sell,cookie,12,12,12,12
skeleton shoes,sell,gold,5000,5000,6000,12
t.rex saboteur's armor [iii] +2 [ ],sell,gold,6500,6000,6500,12
безопасный свиток заточки | 1шт — 1./600з,sell,cookie,5,5,5,12
безопасный свиток заточки || 1шт — /800з,sell,cookie,2,2,2,12
божественная милость lv,sell,gold,6000,5000,7000,12
деликотесное мясо продам по /шт (торг),sell,gold,45,45,45,12
дуб - /1шт.,buy,gold,19,19,19,12
к.сталь,buy,gold,18,18,18,12
каплевидный щит метели [iii+] +5 (41/42),sell,gold,14000,14000,14000,12
ледяная кираса провидца [iii+] +5 (24/31),sell,gold,16000,16000,16000,12
ледяная удача кощара,sell,gold,1100,1100,1100,12
ледяной перстень провидца [iii+] +5 (32/32),sell,gold,13000,13000,13000,12
ледяные ботинки провидца [iii+] +5 (6/31),sell,gold,14000,14000,14000,12
любые рецепты т2,buy,gold,400,400,400,12
материя: [iii+] - 15шт == зельеч=,sell,gold,2000,2000,2000,12
ожерелье точности бездны +5 (гладиатор),sell,gold,80000,70000,85000,12
последний шанс lii,sell,gold,1300,1000,1500,12
пояс нуамендора;,sell,gold,29000,29000,30000,12
свиток удачи - /шт (от 50шт цена ещё ниже),sell,gold,290,280,300,12
талант - оракул - 2шт–цена,sell,gold,3000,3000,3000,12
талант - оракул -/шт,sell,gold,2600,2600,2700,12
талант - орлиный глаз - 2шт–цена,sell,gold,3000,3000,3000,12
талант - орлиный глаз -/шт,sell,gold,2600,2600,2700,12
талант -оракул -/шт,sell,gold,2800,2800,2800,12
талант -орлиный глаз -/шт,sell,gold,2700,2700,2750,12
beads of sea depths [iii+] новое,sell,gold,4000,4000,5000,11
rhino crusher gloves [iii] =,sell,gold,5000,5000,6000,11
безопасный свиток заточки [ii] - /шт (4шт),sell,gold,700,700,700,11
блюдо из мяса [|||] - 8шт,sell,gold,499,470,500,11
бриллиантовые серьги [i],sell,gold,1000,1000,1500,11
бук - 1шт/---50шт,buy,gold,11,11,12,11
бук = за 100шт,buy,gold,1200,1200,1200,11
загнал вьюги [iii+] (65/65),sell,gold,5500,5000,5500,11
кожа - (100шт),buy,gold,22,22,30,11
кость - (100шт),buy,gold,21,20,30,11
кость - 1шт/---50шт,buy,gold,20,20,20,11
люцернский молот метели [iii+] - (возможен торг с обменом),sell,gold,4000,4000,4000,11
материал материи [iii],buy,gold,400,400,400,11
